,fips,cases,deaths,popdense,population,ageab55,ageab65,ageab75,diabetes,cases rate 10k,deaths rate 10k,deaths cases 10k,pctpov,pctmale,pctwhite,pctblack,pctindian,pctasian,pcthispanic,AR,AS,AT,AU,pct_highschool_or_less,% Adults with Diabetes,% Adults with Obesity
212,6057,2609,50,40.190483,99696,44.72997914,0.27463489,0.104858771,0.059999999,261.6955545,5.015246349,191.6443082,11.4,49.06917028,84.924167,0.49350024,0.81046382,1.303964,9.6734069,5.639473915,18.36447334,38.75,37.24605179,24.00394726,6,22
213,6059,166196,1875,1551.637,3185968,27.48332689,0.147643354,0.064136865,0.090000004,521.649935,5.885181521,112.8185997,11.5,49.36650337,40.128431,1.6403805,0.19698879,20.898798,34.157625,14.52875423,17.22204781,27.6627636,40.58643341,31.75080204,9,19
214,6061,13755,125,107.87978,393149,33.00250032,0.195615403,0.084492139,0.07,349.8673531,3.179456135,90.87604507,8,48.87383664,72.059196,1.6383102,0.56594322,7.7281132,14.250576,5.464927673,17.97875023,36.84508514,39.71123886,23.4436779,7,21
215,6063,398,1,2.8437476,18804,47.05913635,0.284248032,0.106147628,0.11,211.6570942,0.531801744,25.12562814,11.7,49.77664327,83.391833,0.95192511,2.1272069,1.0210593,9.1788977,4.896747112,26.05842972,45.34152985,23.70329475,30.95517683,11,27
216,6065,180553,1985,131.30302,2450758,25.87909537,0.14408685,0.062205244,0.090000004,736.7230873,8.099534919,109.9400176,14.7,49.83662198,34.709138,6.1750691,0.47617923,6.474895,49.553853,17.95894432,26.85494804,32.8805809,22.30552673,44.81389236,9,27
217,6067,65540,857,616.26898,1540975,26.35182271,0.141209948,0.057675173,0.1,425.3151414,5.56141404,130.7598413,15.8,48.8633495,44.221222,9.7640783,0.50481027,16.176447,23.447363,12.27566147,22.42139626,34.45273972,30.85020065,34.69705772,10,29
218,6069,3673,29,17.109814,61537,25.11497148,0.128979313,0.051416221,0.090000004,596.8766758,4.712611925,78.95453308,9.2,50.12106538,33.490419,0.87589584,0.39488436,2.8129417,60.574937,19.54925728,24.75486374,35.96693802,19.72893906,44.30412102,9,32
219,6071,194377,1445,41.797852,2171603,22.9039562,0.115749057,0.044990268,0.090000004,895.0853356,6.654070749,74.3400711,17.3,49.7765936,27.940652,8.1435695,0.38589006,7.121928,53.965896,20.00866318,26.30273438,32.69942856,20.9891758,46.31139755,9,29
220,6073,155658,1534,306.71237,3343364,25.88482738,0.140413667,0.05906207,0.07,465.5729977,4.588193209,98.54938391,12.5,50.32204091,45.204231,4.7029279,0.43145167,11.950897,33.958253,12.5538435,18.23280907,30.40834236,38.80500412,30.78665257,7,20
221,6075,23227,186,7277.4463,883305,27.15992777,0.156513322,0.06951506,0.07,262.9556042,2.10572792,80.07921815,10.9,50.98612597,40.322879,5.0342746,0.1934779,35.322002,15.24547,11.53466702,12.05111217,18.35315514,58.06106567,23.58577919,7,18
222,6077,45583,651,208.70912,752660,23.98360481,0.127436027,0.051953073,0.1,605.625382,8.649323732,142.8164009,15.9,49.84136263,31.041771,7.1065292,0.43791356,15.510988,41.92743,20.71707344,28.33663177,32.18405914,18.76223373,49.05370522,10,33
